,proba_m1,proba_m2,bayes_factor,scale1,scale2,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,comparison,group1,group2
LINC01456,0.84,0.16000000000000003,1.658228026008296,3.2167078e-05,1.1641571e-05,0.013875124,0.0037999083,0.007928642220019821,0.002835753176043556,0.31588128,0.1268152,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
GRXCR2,0.8392,0.16080000000000005,1.652287650064279,0.0018057713,0.0008032806,0.6689798,0.31482214,0.309217046580773,0.11184210526315352,15.526014,8.40201,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
LINC02240,0.8376,0.1624,1.6404781821912697,0.00032008966,0.00016181309,0.123885185,0.055693984,0.11100099108027717,0.03624092558983652,3.2677283,1.834715,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
PPARGC1A,0.836,0.16400000000000003,1.6287621362466176,0.00271368,0.001109269,1.1526301,0.4682901,0.5381565906838501,0.18557168784028188,29.692062,12.222267,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
NRXN1,0.8356,0.1644,1.625847498200531,0.0004482108,0.00051034224,0.16253722,0.11297596,0.1367690782953414,0.03743194192377475,5.507642,6.3184233,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
AC008496.2,0.834,0.16600000000000004,1.614245565751649,0.0023876969,0.00068138645,0.9256708,0.24313438,0.3508424182358779,0.1269283121597044,21.090622,6.5914707,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
PALLD,0.8326,0.1674,1.6041671289789146,0.029517533,0.010184367,12.293336,3.9899297,0.9385530227948595,0.41895417422873626,291.91638,109.0931,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
MAL,0.832,0.16800000000000004,1.5998684139133723,5.5889977e-05,4.2615935e-05,0.028741322,0.011399714,0.026759167492566897,0.009471415607985506,0.67392373,0.45510265,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
AC092343.1,0.8308,0.16920000000000002,1.5913075977647724,0.00011148104,5.154731e-05,0.037661042,0.015823485,0.035678889990089196,0.012704174228675178,0.9838325,0.48611397,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
LINC01194,0.8298,0.17020000000000002,1.5842104450561856,2.4787778e-05,1.2589189e-05,0.008919722,0.004140199,0.008919722497522299,0.002835753176043556,0.16008109,0.1437827,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
SLC6A1-AS1,0.825,0.17500000000000004,1.5505973673895233,0.0010202411,0.0007012493,0.35976195,0.057225328,0.14767096134786858,0.03930353901996339,12.423518,6.302842,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
KLRD1,0.8248,0.17520000000000002,1.5492127092469865,0.0007106005,0.00037671957,0.25173432,0.11575438,0.18731417244796741,0.07304900181487983,7.0000386,3.9636912,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
AL356479.1,0.8244,0.17559999999999998,1.546447122997715,2.4459054e-05,2.0786663e-05,0.007928642,0.007883395,0.007928642220019821,0.004423774954627948,0.23674263,0.20339489,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
